WEEK_END_DATE,lag-units-1,lag-units-2,lag-units-3,lag-units-4,lag-units-5,lag-units-6,lag-units-7,lag-units-8,lag-units-9,lag-units-10,lag-units-11,lag-units-12,lag-units-13,lag-units-14,lag-units-15,lag-units-16,lag-units-17,lag-units-18,lag-units-19,lag-units-20,lag-units-21,lag-units-22,lag-units-23,lag-units-24,lag-units-25,lag-units-26,lag-units-27,lag-units-28,lag-units-29,lag-units-30,lag-units-31,lag-units-32,lag-units-33,lag-units-34,lag-units-35,lag-units-36,lag-units-37,lag-units-38,lag-units-39,lag-units-40,lag-units-41,lag-units-42,lag-units-43,lag-units-44,lag-units-45,lag-units-46,lag-units-47,lag-units-48,lag-units-49,lag-units-50,lag-units-51,lag-units-52,lag-units-1-rolling-2,lag-units-1-rolling-4,lag-units-1-rolling-8,lag-units-1-rolling-16,lag-units-1-rolling-26,WEEK_END_DATEYear,WEEK_END_DATEMonth,WEEK_END_DATEWeek,WEEK_END_DATEDay,WEEK_END_DATEDayofweek,WEEK_END_DATEDayofyear,test_predictions,y_true
2011-09-17,71.0,59.0,46.0,52.0,46.0,476.0,66.0,69.0,64.0,69.0,85.0,89.0,90.0,106.0,91.0,96.0,104.0,100.0,89.0,131.0,142.0,100.0,104.0,86.0,75.0,69.0,65.0,96.0,120.0,84.0,119.0,109.0,91.0,104.0,96.0,107.0,88.0,163.0,181.0,278.0,83.0,107.0,58.0,101.0,105.0,100.0,87.0,86.0,89.0,152.0,83.0,63.0,65.0,57.0,110.62,98.44,99.04,2011,9,37,17,5,260,85,53
2011-09-24,53.0,71.0,59.0,46.0,52.0,46.0,476.0,66.0,69.0,64.0,69.0,85.0,89.0,90.0,106.0,91.0,96.0,104.0,100.0,89.0,131.0,142.0,100.0,104.0,86.0,75.0,69.0,65.0,96.0,120.0,84.0,119.0,109.0,91.0,104.0,96.0,107.0,88.0,163.0,181.0,278.0,83.0,107.0,58.0,101.0,105.0,100.0,87.0,86.0,89.0,152.0,83.0,62.0,57.25,108.62,95.75,98.42,2011,9,38,24,5,267,86,73
2011-10-01,73.0,53.0,71.0,59.0,46.0,52.0,46.0,476.0,66.0,69.0,64.0,69.0,85.0,89.0,90.0,106.0,91.0,96.0,104.0,100.0,89.0,131.0,142.0,100.0,104.0,86.0,75.0,69.0,65.0,96.0,120.0,84.0,119.0,109.0,91.0,104.0,96.0,107.0,88.0,163.0,181.0,278.0,83.0,107.0,58.0,101.0,105.0,100.0,87.0,86.0,89.0,152.0,63.0,64.0,109.5,94.62,98.35,2011,10,39,1,5,274,69,94
2011-10-08,94.0,73.0,53.0,71.0,59.0,46.0,52.0,46.0,476.0,66.0,69.0,64.0,69.0,85.0,89.0,90.0,106.0,91.0,96.0,104.0,100.0,89.0,131.0,142.0,100.0,104.0,86.0,75.0,69.0,65.0,96.0,120.0,84.0,119.0,109.0,91.0,104.0,96.0,107.0,88.0,163.0,181.0,278.0,83.0,107.0,58.0,101.0,105.0,100.0,87.0,86.0,89.0,83.5,72.75,61.75,93.88,98.65,2011,10,40,8,5,281,322,84
