WEEK_END_DATE,lag-units-1,lag-units-2,lag-units-3,lag-units-4,lag-units-5,lag-units-6,lag-units-7,lag-units-8,lag-units-9,lag-units-10,lag-units-11,lag-units-12,lag-units-13,lag-units-14,lag-units-15,lag-units-16,lag-units-17,lag-units-18,lag-units-19,lag-units-20,lag-units-21,lag-units-22,lag-units-23,lag-units-24,lag-units-25,lag-units-26,lag-units-27,lag-units-28,lag-units-29,lag-units-30,lag-units-31,lag-units-32,lag-units-33,lag-units-34,lag-units-35,lag-units-36,lag-units-37,lag-units-38,lag-units-39,lag-units-40,lag-units-41,lag-units-42,lag-units-43,lag-units-44,lag-units-45,lag-units-46,lag-units-47,lag-units-48,lag-units-49,lag-units-50,lag-units-51,lag-units-52,lag-units-1-rolling-2,lag-units-1-rolling-4,lag-units-1-rolling-8,lag-units-1-rolling-16,lag-units-1-rolling-26,WEEK_END_DATEYear,WEEK_END_DATEMonth,WEEK_END_DATEWeek,WEEK_END_DATEDay,WEEK_END_DATEDayofweek,WEEK_END_DATEDayofyear,test_predictions,y_true
2011-03-05,7.0,14.0,104.0,60.0,3.0,14.0,8.0,23.0,12.0,22.0,19.0,17.0,19.0,30.0,23.0,15.0,16.0,14.0,120.0,137.0,36.0,27.0,80.0,44.0,42.0,28.0,71.0,94.0,16.0,17.0,15.0,10.0,59.0,13.0,14.0,67.0,73.0,17.0,14.0,13.0,15.0,11.0,18.0,23.0,8.0,10.0,14.0,88.0,81.0,24.0,78.0,15.0,10.5,46.25,29.12,24.38,35.92,2011,3,9,5,5,64,17,15
2011-03-12,15.0,7.0,14.0,104.0,60.0,3.0,14.0,8.0,23.0,12.0,22.0,19.0,17.0,19.0,30.0,23.0,15.0,16.0,14.0,120.0,137.0,36.0,27.0,80.0,44.0,42.0,28.0,71.0,94.0,16.0,17.0,15.0,10.0,59.0,13.0,14.0,67.0,73.0,17.0,14.0,13.0,15.0,11.0,18.0,23.0,8.0,10.0,14.0,88.0,81.0,24.0,78.0,11.0,35.0,28.12,24.38,35.42,2011,3,10,12,5,71,17,110
2011-03-19,110.0,15.0,7.0,14.0,104.0,60.0,3.0,14.0,8.0,23.0,12.0,22.0,19.0,17.0,19.0,30.0,23.0,15.0,16.0,14.0,120.0,137.0,36.0,27.0,80.0,44.0,42.0,28.0,71.0,94.0,16.0,17.0,15.0,10.0,59.0,13.0,14.0,67.0,73.0,17.0,14.0,13.0,15.0,11.0,18.0,23.0,8.0,10.0,14.0,88.0,81.0,24.0,62.5,36.5,40.88,29.81,38.04,2011,3,11,19,5,78,18,77
2011-03-26,77.0,110.0,15.0,7.0,14.0,104.0,60.0,3.0,14.0,8.0,23.0,12.0,22.0,19.0,17.0,19.0,30.0,23.0,15.0,16.0,14.0,120.0,137.0,36.0,27.0,80.0,44.0,42.0,28.0,71.0,94.0,16.0,17.0,15.0,10.0,59.0,13.0,14.0,67.0,73.0,17.0,14.0,13.0,15.0,11.0,18.0,23.0,8.0,10.0,14.0,88.0,81.0,93.5,52.25,48.75,32.75,39.31,2011,3,12,26,5,85,14,68
