WEEK_END_DATE,lag-units-1,lag-units-2,lag-units-3,lag-units-4,lag-units-5,lag-units-6,lag-units-7,lag-units-8,lag-units-9,lag-units-10,lag-units-11,lag-units-12,lag-units-13,lag-units-14,lag-units-15,lag-units-16,lag-units-17,lag-units-18,lag-units-19,lag-units-20,lag-units-21,lag-units-22,lag-units-23,lag-units-24,lag-units-25,lag-units-26,lag-units-27,lag-units-28,lag-units-29,lag-units-30,lag-units-31,lag-units-32,lag-units-33,lag-units-34,lag-units-35,lag-units-36,lag-units-37,lag-units-38,lag-units-39,lag-units-40,lag-units-41,lag-units-42,lag-units-43,lag-units-44,lag-units-45,lag-units-46,lag-units-47,lag-units-48,lag-units-49,lag-units-50,lag-units-51,lag-units-52,lag-units-1-rolling-2,lag-units-1-rolling-4,lag-units-1-rolling-8,lag-units-1-rolling-16,lag-units-1-rolling-26,WEEK_END_DATEYear,WEEK_END_DATEMonth,WEEK_END_DATEWeek,WEEK_END_DATEDay,WEEK_END_DATEDayofweek,WEEK_END_DATEDayofyear,test_predictions,y_true
2011-03-05,23.0,24.0,64.0,48.0,15.0,18.0,34.0,27.0,28.0,26.0,20.0,26.0,27.0,45.0,30.0,18.0,21.0,12.0,65.0,82.0,32.0,21.0,60.0,33.0,21.0,45.0,60.0,54.0,22.0,25.0,31.0,22.0,52.0,21.0,20.0,44.0,48.0,16.0,15.0,27.0,16.0,13.0,13.0,23.0,23.0,21.0,22.0,66.0,85.0,26.0,58.0,21.0,23.5,39.75,31.62,29.56,33.27,2011,3,9,5,5,64,21,19
2011-03-12,19.0,23.0,24.0,64.0,48.0,15.0,18.0,34.0,27.0,28.0,26.0,20.0,26.0,27.0,45.0,30.0,18.0,21.0,12.0,65.0,82.0,32.0,21.0,60.0,33.0,21.0,45.0,60.0,54.0,22.0,25.0,31.0,22.0,52.0,21.0,20.0,44.0,48.0,16.0,15.0,27.0,16.0,13.0,13.0,23.0,23.0,21.0,22.0,66.0,85.0,26.0,58.0,21.0,32.5,30.62,29.62,32.27,2011,3,10,12,5,71,18,64
2011-03-19,64.0,19.0,23.0,24.0,64.0,48.0,15.0,18.0,34.0,27.0,28.0,26.0,20.0,26.0,27.0,45.0,30.0,18.0,21.0,12.0,65.0,82.0,32.0,21.0,60.0,33.0,21.0,45.0,60.0,54.0,22.0,25.0,31.0,22.0,52.0,21.0,20.0,44.0,48.0,16.0,15.0,27.0,16.0,13.0,13.0,23.0,23.0,21.0,22.0,66.0,85.0,26.0,41.5,32.5,34.38,31.75,33.92,2011,3,11,19,5,78,23,52
2011-03-26,52.0,64.0,19.0,23.0,24.0,64.0,48.0,15.0,18.0,34.0,27.0,28.0,26.0,20.0,26.0,27.0,45.0,30.0,18.0,21.0,12.0,65.0,82.0,32.0,21.0,60.0,33.0,21.0,45.0,60.0,54.0,22.0,25.0,31.0,22.0,52.0,21.0,20.0,44.0,48.0,16.0,15.0,27.0,16.0,13.0,13.0,23.0,23.0,21.0,22.0,66.0,85.0,58.0,39.5,38.62,32.19,34.65,2011,3,12,26,5,85,23,53
