WEEK_END_DATE,lag-units-1,lag-units-2,lag-units-3,lag-units-4,lag-units-5,lag-units-6,lag-units-7,lag-units-8,lag-units-9,lag-units-10,lag-units-11,lag-units-12,lag-units-13,lag-units-14,lag-units-15,lag-units-16,lag-units-17,lag-units-18,lag-units-19,lag-units-20,lag-units-21,lag-units-22,lag-units-23,lag-units-24,lag-units-25,lag-units-26,lag-units-27,lag-units-28,lag-units-29,lag-units-30,lag-units-31,lag-units-32,lag-units-33,lag-units-34,lag-units-35,lag-units-36,lag-units-37,lag-units-38,lag-units-39,lag-units-40,lag-units-41,lag-units-42,lag-units-43,lag-units-44,lag-units-45,lag-units-46,lag-units-47,lag-units-48,lag-units-49,lag-units-50,lag-units-51,lag-units-52,lag-units-1-rolling-2,lag-units-1-rolling-4,lag-units-1-rolling-8,lag-units-1-rolling-16,lag-units-1-rolling-26,WEEK_END_DATEYear,WEEK_END_DATEMonth,WEEK_END_DATEWeek,WEEK_END_DATEDay,WEEK_END_DATEDayofweek,WEEK_END_DATEDayofyear,test_predictions,y_true
2011-04-30,22.0,20.0,19.0,37.0,30.0,31.0,49.0,117.0,144.0,189.0,47.0,31.0,35.0,37.0,40.0,33.0,26.0,29.0,23.0,36.0,28.0,37.0,8.0,47.0,30.0,39.0,33.0,42.0,31.0,46.0,31.0,39.0,52.0,38.0,47.0,63.0,75.0,61.0,58.0,74.0,263.0,70.0,53.0,111.0,150.0,89.0,63.0,78.0,291.0,340.0,278.0,363.0,21.0,24.5,40.62,55.06,45.54,2011,4,17,30,5,120,22,16
2011-05-07,16.0,22.0,20.0,19.0,37.0,30.0,31.0,49.0,117.0,144.0,189.0,47.0,31.0,35.0,37.0,40.0,33.0,26.0,29.0,23.0,36.0,28.0,37.0,8.0,47.0,30.0,39.0,33.0,42.0,31.0,46.0,31.0,39.0,52.0,38.0,47.0,63.0,75.0,61.0,58.0,74.0,263.0,70.0,53.0,111.0,150.0,89.0,63.0,78.0,291.0,340.0,278.0,19.0,19.25,28.0,54.0,44.65,2011,5,18,7,5,127,22,26
2011-05-14,26.0,16.0,22.0,20.0,19.0,37.0,30.0,31.0,49.0,117.0,144.0,189.0,47.0,31.0,35.0,37.0,40.0,33.0,26.0,29.0,23.0,36.0,28.0,37.0,8.0,47.0,30.0,39.0,33.0,42.0,31.0,46.0,31.0,39.0,52.0,38.0,47.0,63.0,75.0,61.0,58.0,74.0,263.0,70.0,53.0,111.0,150.0,89.0,63.0,78.0,291.0,340.0,21.0,21.0,25.12,53.12,44.5,2011,5,19,14,5,134,20,40
2011-05-21,40.0,26.0,16.0,22.0,20.0,19.0,37.0,30.0,31.0,49.0,117.0,144.0,189.0,47.0,31.0,35.0,37.0,40.0,33.0,26.0,29.0,23.0,36.0,28.0,37.0,8.0,47.0,30.0,39.0,33.0,42.0,31.0,46.0,31.0,39.0,52.0,38.0,47.0,63.0,75.0,61.0,58.0,74.0,263.0,70.0,53.0,111.0,150.0,89.0,63.0,78.0,291.0,33.0,26.0,26.25,53.31,44.23,2011,5,20,21,5,141,65,18
