,y_true,preds,dates
694,168,146.48946217479659,2018-01-07
695,205,205.03784154965973,2018-01-14
696,168,207.49484068514343,2018-01-21
697,224,149.96830433937922,2018-01-28
698,237,216.75855456251725,2018-02-04
699,220,277.81947467880116,2018-02-11
700,193,251.17596063341287,2018-02-18
701,148,179.3959740291328,2018-02-25
702,181,114.42164996914724,2018-03-04
703,166,164.051601600384,2018-03-11
704,185,206.20091851278949,2018-03-18
705,217,229.19980866417703,2018-03-25
706,167,205.904429876063,2018-04-01
707,179,127.45519643445887,2018-04-08
708,191,147.65598805270292,2018-04-15
709,147,232.0499762126301,2018-04-22
710,219,175.51837053988743,2018-04-29
711,178,219.91860763156888,2018-05-06
712,183,156.24751752772124,2018-05-13
713,227,167.88434670427108,2018-05-20
714,150,258.2577614665728,2018-05-27
715,131,194.65466129760108,2018-06-03
716,223,115.53204095923991,2018-06-10
717,200,146.23739557403582,2018-06-17
718,200,216.37334996603713,2018-06-24
719,159,264.68015242548825,2018-07-01
720,142,202.02924737382386,2018-07-08
721,79,110.40310876863377,2018-07-15
722,160,32.651240855120335,2018-07-22
723,171,133.85950270147794,2018-07-29
724,205,251.85475658825828,2018-08-05
725,206,261.4447245404659,2018-08-12
