,y_true,nd_preds,lt_preds,dates
0,68,63.45177076893624,63.45177076893624,2018-01-07
1,85,63.45177076893624,59.65850730628716,2018-01-14
2,90,63.1171238088206,62.22187025606511,2018-01-21
3,92,83.46252029661319,65.52456423363627,2018-01-28
4,97,90.12840912654255,90.12840912654255,2018-02-04
5,98,90.12840912654255,81.38194328640594,2018-02-11
6,96,86.03919964262101,83.63555126198534,2018-02-18
7,102,103.75351067912197,93.30825723937913,2018-02-25
8,74,100.20303943065232,100.20303943065232,2018-03-04
9,73,100.20303943065232,96.61238753731617,2018-03-11
10,79,77.75804421520371,97.48827333447598,2018-03-18
11,89,83.95961417390764,101.23391935049776,2018-03-25
12,80,92.10641956741463,92.10641956741463,2018-04-01
13,62,92.10641956741463,97.25515203093661,2018-04-08
14,74,88.72057793746664,84.73462579906898,2018-04-15
15,65,71.56561531164695,87.21254946011808,2018-04-22
16,93,85.83717722177127,85.83717722177127,2018-04-29
17,51,85.83717722177127,71.15944532153824,2018-05-06
18,87,76.46346575184992,78.15804537157416,2018-05-13
19,62,62.65190254646797,77.22362090201548,2018-05-20
20,42,69.9217509934939,69.9217509934939,2018-05-27
21,41,69.9217509934939,67.03610127371843,2018-06-03
22,41,50.00166717127253,76.46869290725684,2018-06-10
23,64,50.232464900088004,76.72405185508231,2018-06-17
24,65,59.020552685305844,59.020552685305844,2018-06-24
25,43,59.020552685305844,70.08766998922962,2018-07-01
26,33,73.42961744385414,49.195250170442485,2018-07-08
27,27,47.19774074330231,55.148509495233206,2018-07-15
28,58,30.960953391506113,30.960953391506113,2018-07-22
29,67,30.960953391506113,25.612217189057468,2018-07-29
30,112,40.801053426954184,38.07521650543352,2018-08-05
31,111,68.90242704432174,39.571705848602335,2018-08-12
