,y_true,preds,dates
5997,73,58.96414496339314,2018-01-07
5998,76,66.74955774362076,2018-01-14
5999,74,75.03870620643144,2018-01-21
6000,106,79.00050022857312,2018-01-28
6001,108,110.63918830311792,2018-02-04
6002,79,114.33508298196483,2018-02-11
6003,68,78.17668947857942,2018-02-18
6004,96,61.65371996200602,2018-02-25
6005,106,94.37800849652794,2018-03-04
6006,109,121.05849850237493,2018-03-11
6007,113,120.98777583409097,2018-03-18
6008,105,104.90944187950959,2018-03-25
6009,80,101.14405768264498,2018-04-01
6010,107,76.2672846383084,2018-04-08
6011,81,102.79094142840421,2018-04-15
6012,79,97.62142484837565,2018-04-22
6013,223,74.75733267654367,2018-04-29
6014,199,216.50472557495414,2018-05-06
6015,240,239.03504361846953,2018-05-13
6016,128,247.35014127750853,2018-05-20
6017,61,123.71162722878869,2018-05-27
6018,89,23.76457241999038,2018-06-03
6019,93,68.31600913258214,2018-06-10
6020,140,106.44246664029872,2018-06-17
6021,125,166.43576527923594,2018-06-24
6022,113,131.12360464652932,2018-07-01
6023,86,94.54463520916865,2018-07-08
6024,134,73.48500912741235,2018-07-15
6025,125,143.87232233174086,2018-07-22
6026,145,161.1283671415183,2018-07-29
6027,150,149.6824324505034,2018-08-05
6028,133,125.33961278007075,2018-08-12
