,y_true,nd_preds,lt_preds,dates
0,61,46.605499047941926,46.605499047941926,2018-01-07
1,84,46.605499047941926,52.066781203453075,2018-01-14
2,88,62.42888861211219,51.52839360108064,2018-01-21
3,105,75.35614740357025,50.98472730364815,2018-01-28
4,86,97.47079865256617,97.47079865256617,2018-02-04
5,84,97.47079865256617,94.17745194093752,2018-02-11
6,111,82.70597089394958,109.06594787545829,2018-02-18
7,117,74.00026014604151,101.53674652802447,2018-02-25
8,117,104.99972660057918,104.99972660057918,2018-03-04
9,107,104.99972660057918,116.7450826359804,2018-03-11
10,91,124.52833174291719,104.09020635502755,2018-03-18
11,122,98.92986667586392,98.25047990737724,2018-03-25
12,75,127.2814417987316,127.2814417987316,2018-04-01
13,90,127.2814417987316,110.4263414255976,2018-04-08
14,115,78.40477516324934,104.32005523738056,2018-04-15
15,95,57.69009883672005,117.97115236946833,2018-04-22
16,169,94.52952345526236,94.52952345526236,2018-04-29
17,120,94.52952345526236,100.88006657709968,2018-05-06
18,195,193.68137372203446,103.40175374323952,2018-05-13
19,185,135.11654483536526,99.86650231492695,2018-05-20
20,87,191.80164715812512,191.80164715812512,2018-05-27
21,135,191.80164715812512,189.0180076512675,2018-06-03
22,173,106.46522278359657,201.3442754206854,2018-06-10
23,129,129.7703959218269,197.53414569968706,2018-06-17
24,120,171.91178151807202,171.91178151807202,2018-06-24
25,153,171.91178151807202,151.61850338524687,2018-07-01
26,122,128.30636511195735,169.14944330815214,2018-07-08
27,65,151.5871902321962,176.55321641763234,2018-07-15
28,118,94.79790643962178,94.79790643962178,2018-07-22
29,176,94.79790643962178,90.23348720278,2018-07-29
30,227,103.11298669719108,119.8663794136124,2018-08-05
31,194,160.12954290380623,122.58280461203054,2018-08-12
