,y_true,y_pred,dates
3385,147.0,75.967384,2018-01-07
3386,155.0,77.935585,2018-01-14
3387,172.0,78.74881,2018-01-21
3388,132.0,79.10977,2018-01-28
3389,85.0,71.750114,2018-02-04
3390,73.0,72.84038,2018-02-11
3391,126.0,74.51986,2018-02-18
3392,131.0,74.914215,2018-02-25
3393,151.0,89.21685,2018-03-04
3394,161.0,89.31543,2018-03-11
3395,118.0,89.5844,2018-03-18
3396,140.0,89.29295,2018-03-25
3397,133.0,107.309944,2018-04-01
3398,143.0,107.44208,2018-04-08
3399,130.0,107.36715,2018-04-15
3400,121.0,107.56444,2018-04-22
3401,193.0,116.510895,2018-04-29
3402,135.0,117.671646,2018-05-06
3403,203.0,118.14999,2018-05-13
3404,171.0,119.224,2018-05-20
3405,89.0,125.09021,2018-05-27
3406,87.0,124.48017,2018-06-03
3407,74.0,124.02172,2018-06-10
3408,97.0,123.14781,2018-06-17
3409,88.0,112.512215,2018-06-24
3410,127.0,111.460266,2018-07-01
3411,96.0,110.85523,2018-07-08
3412,41.0,110.712585,2018-07-15
3413,115.0,126.441505,2018-07-22
3414,130.0,124.71919,2018-07-29
3415,163.0,123.340645,2018-08-05
3416,143.0,121.82219,2018-08-12
