Category: Shopping

Week,Pretzel: (United States)
2009-01-11,19
2009-01-18,30
2009-01-25,36
2009-02-01,29
2009-02-08,22
2009-02-15,19
2009-02-22,14
2009-03-01,29
2009-03-08,40
2009-03-15,37
2009-03-22,22
2009-03-29,7
2009-04-05,15
2009-04-12,22
2009-04-19,14
2009-04-26,7
2009-05-03,25
2009-05-10,25
2009-05-17,26
2009-05-24,15
2009-05-31,18
2009-06-07,41
2009-06-14,19
2009-06-21,7
2009-06-28,8
2009-07-05,23
2009-07-12,23
2009-07-19,18
2009-07-26,18
2009-08-02,37
2009-08-09,26
2009-08-16,11
2009-08-23,18
2009-08-30,32
2009-09-06,33
2009-09-13,20
2009-09-20,20
2009-09-27,31
2009-10-04,27
2009-10-11,23
2009-10-18,17
2009-10-25,36
2009-11-01,30
2009-11-08,26
2009-11-15,23
2009-11-22,18
2009-11-29,25
2009-12-06,25
2009-12-13,75
2009-12-20,70
2009-12-27,36
2010-01-03,22
2010-01-10,31
2010-01-17,16
2010-01-24,33
2010-01-31,36
2010-02-07,24
2010-02-14,25
2010-02-21,18
2010-02-28,24
2010-03-07,21
2010-03-14,28
2010-03-21,15
2010-03-28,32
2010-04-04,28
2010-04-11,12
2010-04-18,36
2010-04-25,24
2010-05-02,22
2010-05-09,31
2010-05-16,35
2010-05-23,29
2010-05-30,17
2010-06-06,16
2010-06-13,37
2010-06-20,27
2010-06-27,29
2010-07-04,24
2010-07-11,19
2010-07-18,11
2010-07-25,42
2010-08-01,22
2010-08-08,22
2010-08-15,25
2010-08-22,32
2010-08-29,21
2010-09-05,32
2010-09-12,26
2010-09-19,29
2010-09-26,25
2010-10-03,21
2010-10-10,18
2010-10-17,20
2010-10-24,23
2010-10-31,22
2010-11-07,25
2010-11-14,37
2010-11-21,24
2010-11-28,50
2010-12-05,43
2010-12-12,64
2010-12-19,80
2010-12-26,37
2011-01-02,25
2011-01-09,28
2011-01-16,28
2011-01-23,26
2011-01-30,47
2011-02-06,31
2011-02-13,35
2011-02-20,49
2011-02-27,31
2011-03-06,33
2011-03-13,35
2011-03-20,21
2011-03-27,29
2011-04-03,19
2011-04-10,31
2011-04-17,25
2011-04-24,31
2011-05-01,36
2011-05-08,29
2011-05-15,29
2011-05-22,24
2011-05-29,39
2011-06-05,26
2011-06-12,26
2011-06-19,28
2011-06-26,22
2011-07-03,27
2011-07-10,31
2011-07-17,37
2011-07-24,12
2011-07-31,27
2011-08-07,24
2011-08-14,28
2011-08-21,24
2011-08-28,24
2011-09-04,26
2011-09-11,27
2011-09-18,28
2011-09-25,37
2011-10-02,42
2011-10-09,45
2011-10-16,42
2011-10-23,38
2011-10-30,38
2011-11-06,34
2011-11-13,51
2011-11-20,43
2011-11-27,52
2011-12-04,63
2011-12-11,75
2011-12-18,100
2011-12-25,42
2012-01-01,38
