WEEK_END_DATE,lag-units-1,lag-units-2,lag-units-3,lag-units-4,lag-units-5,lag-units-6,lag-units-7,lag-units-8,lag-units-9,lag-units-10,lag-units-11,lag-units-12,lag-units-13,lag-units-14,lag-units-15,lag-units-16,lag-units-17,lag-units-18,lag-units-19,lag-units-20,lag-units-21,lag-units-22,lag-units-23,lag-units-24,lag-units-25,lag-units-26,lag-units-27,lag-units-28,lag-units-29,lag-units-30,lag-units-31,lag-units-32,lag-units-33,lag-units-34,lag-units-35,lag-units-36,lag-units-37,lag-units-38,lag-units-39,lag-units-40,lag-units-41,lag-units-42,lag-units-43,lag-units-44,lag-units-45,lag-units-46,lag-units-47,lag-units-48,lag-units-49,lag-units-50,lag-units-51,lag-units-52,lag-units-1-rolling-2,lag-units-1-rolling-4,lag-units-1-rolling-8,lag-units-1-rolling-16,lag-units-1-rolling-26,WEEK_END_DATEYear,WEEK_END_DATEMonth,WEEK_END_DATEWeek,WEEK_END_DATEDay,WEEK_END_DATEDayofweek,WEEK_END_DATEDayofyear,test_predictions,y_true
2011-10-15,27.0,103.0,122.0,29.0,24.0,25.0,18.0,61.0,56.0,24.0,12.0,21.0,61.0,71.0,16.0,11.0,54.0,47.0,12.0,11.0,20.0,19.0,71.0,9.0,12.0,12.0,13.0,58.0,68.0,77.0,110.0,15.0,7.0,14.0,104.0,60.0,3.0,14.0,8.0,23.0,12.0,22.0,19.0,17.0,19.0,30.0,23.0,15.0,16.0,14.0,120.0,137.0,65.0,70.25,51.12,42.56,36.46,2011,10,41,15,5,288,27,21
2011-10-22,21.0,27.0,103.0,122.0,29.0,24.0,25.0,18.0,61.0,56.0,24.0,12.0,21.0,61.0,71.0,16.0,11.0,54.0,47.0,12.0,11.0,20.0,19.0,71.0,9.0,12.0,12.0,13.0,58.0,68.0,77.0,110.0,15.0,7.0,14.0,104.0,60.0,3.0,14.0,8.0,23.0,12.0,22.0,19.0,17.0,19.0,30.0,23.0,15.0,16.0,14.0,120.0,24.0,68.25,46.12,43.19,36.81,2011,10,42,22,5,295,14,20
2011-10-29,20.0,21.0,27.0,103.0,122.0,29.0,24.0,25.0,18.0,61.0,56.0,24.0,12.0,21.0,61.0,71.0,16.0,11.0,54.0,47.0,12.0,11.0,20.0,19.0,71.0,9.0,12.0,12.0,13.0,58.0,68.0,77.0,110.0,15.0,7.0,14.0,104.0,60.0,3.0,14.0,8.0,23.0,12.0,22.0,19.0,17.0,19.0,30.0,23.0,15.0,16.0,14.0,20.5,42.75,46.38,43.44,37.12,2011,10,43,29,5,302,12,29
2011-11-05,29.0,20.0,21.0,27.0,103.0,122.0,29.0,24.0,25.0,18.0,61.0,56.0,24.0,12.0,21.0,61.0,71.0,16.0,11.0,54.0,47.0,12.0,11.0,20.0,19.0,71.0,9.0,12.0,12.0,13.0,58.0,68.0,77.0,110.0,15.0,7.0,14.0,104.0,60.0,3.0,14.0,8.0,23.0,12.0,22.0,19.0,17.0,19.0,30.0,23.0,15.0,16.0,24.5,24.25,46.88,40.81,37.88,2011,11,44,5,5,309,24,19
