,y_true,y_pred_lt,y_pred_nd,dates
0,103,150.62186849100243,150.62186849100243,2011-04-02
1,143,169.89952133423537,150.62186849100243,2011-04-09
2,172,191.67256193784232,149.93680124778254,2011-04-16
3,327,155.66076789410585,117.19934298737617,2011-04-23
