Category: Food & Drink

Week,cereal nutrition: (United States)
2009-01-11,22
2009-01-18,36
2009-01-25,28
2009-02-01,43
2009-02-08,42
2009-02-15,50
2009-02-22,28
2009-03-01,48
2009-03-08,63
2009-03-15,14
2009-03-22,76
2009-03-29,48
2009-04-05,29
2009-04-12,43
2009-04-19,41
2009-04-26,62
2009-05-03,21
2009-05-10,49
2009-05-17,35
2009-05-24,30
2009-05-31,43
2009-06-07,50
2009-06-14,57
2009-06-21,36
2009-06-28,54
2009-07-05,37
2009-07-12,15
2009-07-19,21
2009-07-26,50
2009-08-02,21
2009-08-09,50
2009-08-16,42
2009-08-23,48
2009-08-30,41
2009-09-06,21
2009-09-13,66
2009-09-20,59
2009-09-27,72
2009-10-04,58
2009-10-11,33
2009-10-18,32
2009-10-25,45
2009-11-01,45
2009-11-08,50
2009-11-15,50
2009-11-22,21
2009-11-29,36
2009-12-06,72
2009-12-13,32
2009-12-20,24
2009-12-27,15
2010-01-03,31
2010-01-10,92
2010-01-17,42
2010-01-24,35
2010-01-31,81
2010-02-07,65
2010-02-14,30
2010-02-21,46
2010-02-28,81
2010-03-07,64
2010-03-14,61
2010-03-21,100
2010-03-28,74
2010-04-04,48
2010-04-11,64
2010-04-18,69
2010-04-25,29
2010-05-02,54
2010-05-09,66
2010-05-16,43
2010-05-23,25
2010-05-30,26
2010-06-06,44
2010-06-13,39
2010-06-20,78
2010-06-27,50
2010-07-04,51
2010-07-11,32
2010-07-18,38
2010-07-25,64
2010-08-01,43
2010-08-08,27
2010-08-15,37
2010-08-22,52
2010-08-29,41
2010-09-05,31
2010-09-12,35
2010-09-19,45
2010-09-26,39
2010-10-03,70
2010-10-10,61
2010-10-17,53
2010-10-24,44
2010-10-31,52
2010-11-07,43
2010-11-14,47
2010-11-21,37
2010-11-28,23
2010-12-05,69
2010-12-12,71
2010-12-19,11
2010-12-26,11
2011-01-02,80
2011-01-09,55
2011-01-16,66
2011-01-23,50
2011-01-30,80
2011-02-06,56
2011-02-13,68
2011-02-20,83
2011-02-27,75
2011-03-06,53
2011-03-13,59
2011-03-20,67
2011-03-27,41
2011-04-03,68
2011-04-10,52
2011-04-17,76
2011-04-24,45
2011-05-01,41
2011-05-08,53
2011-05-15,49
2011-05-22,72
2011-05-29,32
2011-06-05,54
2011-06-12,50
2011-06-19,81
2011-06-26,39
2011-07-03,68
2011-07-10,26
2011-07-17,60
2011-07-24,66
2011-07-31,37
2011-08-07,51
2011-08-14,40
2011-08-21,46
2011-08-28,64
2011-09-04,64
2011-09-11,55
2011-09-18,58
2011-09-25,47
2011-10-02,51
2011-10-09,46
2011-10-16,58
2011-10-23,37
2011-10-30,34
2011-11-06,42
2011-11-13,52
2011-11-20,42
2011-11-27,72
2011-12-04,47
2011-12-11,51
2011-12-18,10
2011-12-25,21
2012-01-01,58
