Category: All categories

Week,cheerios cereal: (United States)
2009-01-11,83
2009-01-18,53
2009-01-25,80
2009-02-01,51
2009-02-08,66
2009-02-15,33
2009-02-22,58
2009-03-01,43
2009-03-08,51
2009-03-15,59
2009-03-22,22
2009-03-29,50
2009-04-05,22
2009-04-12,22
2009-04-19,50
2009-04-26,65
2009-05-03,64
2009-05-10,54
2009-05-17,87
2009-05-24,54
2009-05-31,66
2009-06-07,78
2009-06-14,22
2009-06-21,45
2009-06-28,36
2009-07-05,46
2009-07-12,75
2009-07-19,44
2009-07-26,29
2009-08-02,30
2009-08-09,37
2009-08-16,33
2009-08-23,86
2009-08-30,100
2009-09-06,51
2009-09-13,96
2009-09-20,61
2009-09-27,47
2009-10-04,34
2009-10-11,74
2009-10-18,46
2009-10-25,66
2009-11-01,33
2009-11-08,58
2009-11-15,77
2009-11-22,44
2009-11-29,44
2009-12-06,50
2009-12-13,39
2009-12-20,24
2009-12-27,72
2010-01-03,45
2010-01-10,66
2010-01-17,81
2010-01-24,36
2010-01-31,59
2010-02-07,67
2010-02-14,43
2010-02-21,71
2010-02-28,60
2010-03-07,49
2010-03-14,69
2010-03-21,30
2010-03-28,64
2010-04-04,50
2010-04-11,36
2010-04-18,36
2010-04-25,43
2010-05-02,25
2010-05-09,47
2010-05-16,44
2010-05-23,46
2010-05-30,52
2010-06-06,49
2010-06-13,40
2010-06-20,33
2010-06-27,29
2010-07-04,18
2010-07-11,45
2010-07-18,56
2010-07-25,17
2010-08-01,34
2010-08-08,56
2010-08-15,28
2010-08-22,38
2010-08-29,27
2010-09-05,60
2010-09-12,26
2010-09-19,41
2010-09-26,23
2010-10-03,26
2010-10-10,31
2010-10-17,23
2010-10-24,37
2010-10-31,34
2010-11-07,15
2010-11-14,34
2010-11-21,43
2010-11-28,24
2010-12-05,43
2010-12-12,15
2010-12-19,17
2010-12-26,34
2011-01-02,54
2011-01-09,45
2011-01-16,36
2011-01-23,40
2011-01-30,49
2011-02-06,58
2011-02-13,36
2011-02-20,43
2011-02-27,46
2011-03-06,74
2011-03-13,49
2011-03-20,46
2011-03-27,43
2011-04-03,66
2011-04-10,27
2011-04-17,31
2011-04-24,62
2011-05-01,46
2011-05-08,47
2011-05-15,51
2011-05-22,30
2011-05-29,37
2011-06-05,48
2011-06-12,48
2011-06-19,51
2011-06-26,92
2011-07-03,46
2011-07-10,31
2011-07-17,42
2011-07-24,42
2011-07-31,30
2011-08-07,17
2011-08-14,46
2011-08-21,17
2011-08-28,51
2011-09-04,41
2011-09-11,37
2011-09-18,46
2011-09-25,53
2011-10-02,32
2011-10-09,41
2011-10-16,52
2011-10-23,55
2011-10-30,21
2011-11-06,27
2011-11-13,27
2011-11-20,29
2011-11-27,32
2011-12-04,36
2011-12-11,52
2011-12-18,16
2011-12-25,25
2012-01-01,37
