Category: Shopping

Week,General Mills: (United States)
2009-01-11,26
2009-01-18,30
2009-01-25,29
2009-02-01,34
2009-02-08,37
2009-02-15,20
2009-02-22,43
2009-03-01,28
2009-03-08,37
2009-03-15,28
2009-03-22,25
2009-03-29,20
2009-04-05,26
2009-04-12,14
2009-04-19,34
2009-04-26,34
2009-05-03,30
2009-05-10,14
2009-05-17,23
2009-05-24,27
2009-05-31,29
2009-06-07,29
2009-06-14,26
2009-06-21,33
2009-06-28,22
2009-07-05,36
2009-07-12,23
2009-07-19,14
2009-07-26,20
2009-08-02,32
2009-08-09,40
2009-08-16,23
2009-08-23,20
2009-08-30,11
2009-09-06,20
2009-09-13,21
2009-09-20,37
2009-09-27,27
2009-10-04,13
2009-10-11,19
2009-10-18,8
2009-10-25,28
2009-11-01,23
2009-11-08,28
2009-11-15,28
2009-11-22,17
2009-11-29,15
2009-12-06,10
2009-12-13,23
2009-12-20,19
2009-12-27,22
2010-01-03,20
2010-01-10,37
2010-01-17,29
2010-01-24,38
2010-01-31,30
2010-02-07,22
2010-02-14,34
2010-02-21,28
2010-02-28,26
2010-03-07,17
2010-03-14,25
2010-03-21,14
2010-03-28,22
2010-04-04,12
2010-04-11,12
2010-04-18,17
2010-04-25,10
2010-05-02,17
2010-05-09,22
2010-05-16,22
2010-05-23,18
2010-05-30,11
2010-06-06,15
2010-06-13,13
2010-06-20,13
2010-06-27,15
2010-07-04,9
2010-07-11,29
2010-07-18,20
2010-07-25,20
2010-08-01,31
2010-08-08,13
2010-08-15,26
2010-08-22,13
2010-08-29,17
2010-09-05,28
2010-09-12,14
2010-09-19,12
2010-09-26,22
2010-10-03,10
2010-10-10,18
2010-10-17,24
2010-10-24,20
2010-10-31,17
2010-11-07,15
2010-11-14,17
2010-11-21,11
2010-11-28,15
2010-12-05,19
2010-12-12,15
2010-12-19,11
2010-12-26,27
2011-01-02,36
2011-01-09,17
2011-01-16,41
2011-01-23,28
2011-01-30,27
2011-02-06,14
2011-02-13,22
2011-02-20,27
2011-02-27,35
2011-03-06,30
2011-03-13,24
2011-03-20,26
2011-03-27,27
2011-04-03,33
2011-04-10,67
2011-04-17,74
2011-04-24,65
2011-05-01,59
2011-05-08,54
2011-05-15,56
2011-05-22,56
2011-05-29,62
2011-06-05,51
2011-06-12,100
2011-06-19,93
2011-06-26,61
2011-07-03,28
2011-07-10,42
2011-07-17,51
2011-07-24,69
2011-07-31,40
2011-08-07,29
2011-08-14,31
2011-08-21,40
2011-08-28,42
2011-09-04,39
2011-09-11,46
2011-09-18,28
2011-09-25,47
2011-10-02,36
2011-10-09,25
2011-10-16,53
2011-10-23,34
2011-10-30,33
2011-11-06,28
2011-11-13,24
2011-11-20,51
2011-11-27,33
2011-12-04,25
2011-12-11,18
2011-12-18,7
2011-12-25,17
2012-01-01,34
