Category: Food & Drink

Week,Frosted Flakes: (United States)
2009-01-11,17
2009-01-18,12
2009-01-25,22
2009-02-01,40
2009-02-08,62
2009-02-15,62
2009-02-22,11
2009-03-01,78
2009-03-08,50
2009-03-15,39
2009-03-22,44
2009-03-29,55
2009-04-05,17
2009-04-12,11
2009-04-19,49
2009-04-26,49
2009-05-03,71
2009-05-10,100
2009-05-17,68
2009-05-24,53
2009-05-31,56
2009-06-07,51
2009-06-14,40
2009-06-21,40
2009-06-28,49
2009-07-05,41
2009-07-12,35
2009-07-19,40
2009-07-26,17
2009-08-02,34
2009-08-09,23
2009-08-16,50
2009-08-23,38
2009-08-30,33
2009-09-06,51
2009-09-13,32
2009-09-20,63
2009-09-27,47
2009-10-04,16
2009-10-11,36
2009-10-18,36
2009-10-25,40
2009-11-01,36
2009-11-08,25
2009-11-15,15
2009-11-22,45
2009-11-29,44
2009-12-06,34
2009-12-13,45
2009-12-20,31
2009-12-27,31
2010-01-03,24
2010-01-10,48
2010-01-17,38
2010-01-24,42
2010-01-31,37
2010-02-07,32
2010-02-14,29
2010-02-21,46
2010-02-28,28
2010-03-07,80
2010-03-14,24
2010-03-21,56
2010-03-28,39
2010-04-04,24
2010-04-11,28
2010-04-18,42
2010-04-25,37
2010-05-02,48
2010-05-09,19
2010-05-16,53
2010-05-23,30
2010-05-30,21
2010-06-06,51
2010-06-13,21
2010-06-20,36
2010-06-27,15
2010-07-04,50
2010-07-11,43
2010-07-18,13
2010-07-25,30
2010-08-01,21
2010-08-08,59
2010-08-15,21
2010-08-22,29
2010-08-29,29
2010-09-05,25
2010-09-12,56
2010-09-19,32
2010-09-26,23
2010-10-03,40
2010-10-10,36
2010-10-17,43
2010-10-24,23
2010-10-31,23
2010-11-07,23
2010-11-14,30
2010-11-21,33
2010-11-28,22
2010-12-05,37
2010-12-12,19
2010-12-19,31
2010-12-26,9
2011-01-02,45
2011-01-09,28
2011-01-16,40
2011-01-23,61
2011-01-30,32
2011-02-06,39
2011-02-13,27
2011-02-20,37
2011-02-27,42
2011-03-06,27
2011-03-13,51
2011-03-20,45
2011-03-27,45
2011-04-03,63
2011-04-10,51
2011-04-17,46
2011-04-24,30
2011-05-01,57
2011-05-08,42
2011-05-15,42
2011-05-22,51
2011-05-29,32
2011-06-05,40
2011-06-12,31
2011-06-19,37
2011-06-26,37
2011-07-03,35
2011-07-10,51
2011-07-17,30
2011-07-24,24
2011-07-31,44
2011-08-07,20
2011-08-14,38
2011-08-21,34
2011-08-28,40
2011-09-04,40
2011-09-11,60
2011-09-18,27
2011-09-25,38
2011-10-02,52
2011-10-09,34
2011-10-16,32
2011-10-23,43
2011-10-30,27
2011-11-06,37
2011-11-13,31
2011-11-20,25
2011-11-27,45
2011-12-04,47
2011-12-11,53
2011-12-18,59
2011-12-25,28
2012-01-01,56
