Category: Food & Drink

Week,Frozen Pizza: (United States)
2009-01-11,36
2009-01-18,32
2009-01-25,31
2009-02-01,35
2009-02-08,38
2009-02-15,46
2009-02-22,31
2009-03-01,58
2009-03-08,42
2009-03-15,17
2009-03-22,44
2009-03-29,31
2009-04-05,28
2009-04-12,56
2009-04-19,20
2009-04-26,48
2009-05-03,27
2009-05-10,48
2009-05-17,42
2009-05-24,26
2009-05-31,28
2009-06-07,49
2009-06-14,28
2009-06-21,32
2009-06-28,49
2009-07-05,43
2009-07-12,36
2009-07-19,49
2009-07-26,28
2009-08-02,42
2009-08-09,35
2009-08-16,38
2009-08-23,20
2009-08-30,27
2009-09-06,62
2009-09-13,42
2009-09-20,45
2009-09-27,64
2009-10-04,32
2009-10-11,32
2009-10-18,31
2009-10-25,50
2009-11-01,51
2009-11-08,28
2009-11-15,55
2009-11-22,17
2009-11-29,36
2009-12-06,33
2009-12-13,25
2009-12-20,43
2009-12-27,41
2010-01-03,58
2010-01-10,57
2010-01-17,44
2010-01-24,37
2010-01-31,37
2010-02-07,46
2010-02-14,38
2010-02-21,25
2010-02-28,32
2010-03-07,46
2010-03-14,33
2010-03-21,55
2010-03-28,24
2010-04-04,24
2010-04-11,26
2010-04-18,31
2010-04-25,37
2010-05-02,27
2010-05-09,42
2010-05-16,45
2010-05-23,40
2010-05-30,29
2010-06-06,34
2010-06-13,45
2010-06-20,38
2010-06-27,21
2010-07-04,39
2010-07-11,48
2010-07-18,32
2010-07-25,79
2010-08-01,48
2010-08-08,47
2010-08-15,31
2010-08-22,46
2010-08-29,28
2010-09-05,49
2010-09-12,42
2010-09-19,39
2010-09-26,53
2010-10-03,37
2010-10-10,52
2010-10-17,43
2010-10-24,48
2010-10-31,54
2010-11-07,40
2010-11-14,37
2010-11-21,49
2010-11-28,52
2010-12-05,41
2010-12-12,26
2010-12-19,49
2010-12-26,43
2011-01-02,53
2011-01-09,52
2011-01-16,73
2011-01-23,80
2011-01-30,100
2011-02-06,65
2011-02-13,58
2011-02-20,73
2011-02-27,75
2011-03-06,80
2011-03-13,80
2011-03-20,83
2011-03-27,63
2011-04-03,76
2011-04-10,72
2011-04-17,71
2011-04-24,46
2011-05-01,77
2011-05-08,56
2011-05-15,68
2011-05-22,62
2011-05-29,43
2011-06-05,49
2011-06-12,81
2011-06-19,53
2011-06-26,67
2011-07-03,61
2011-07-10,59
2011-07-17,97
2011-07-24,67
2011-07-31,50
2011-08-07,73
2011-08-14,49
2011-08-21,59
2011-08-28,40
2011-09-04,44
2011-09-11,56
2011-09-18,27
2011-09-25,43
2011-10-02,60
2011-10-09,60
2011-10-16,52
2011-10-23,71
2011-10-30,55
2011-11-06,58
2011-11-13,50
2011-11-20,52
2011-11-27,48
2011-12-04,57
2011-12-11,42
2011-12-18,32
2011-12-25,38
2012-01-01,66
