Category: Food & Drink

Week,Tonys Pizza: (United States)
2009-01-11,0
2009-01-18,40
2009-01-25,19
2009-02-01,10
2009-02-08,19
2009-02-15,15
2009-02-22,10
2009-03-01,10
2009-03-08,24
2009-03-15,29
2009-03-22,39
2009-03-29,14
2009-04-05,10
2009-04-12,20
2009-04-19,19
2009-04-26,10
2009-05-03,19
2009-05-10,39
2009-05-17,29
2009-05-24,21
2009-05-31,20
2009-06-07,10
2009-06-14,10
2009-06-21,10
2009-06-28,11
2009-07-05,10
2009-07-12,20
2009-07-19,15
2009-07-26,25
2009-08-02,15
2009-08-09,20
2009-08-16,24
2009-08-23,10
2009-08-30,10
2009-09-06,15
2009-09-13,18
2009-09-20,18
2009-09-27,9
2009-10-04,18
2009-10-11,27
2009-10-18,35
2009-10-25,18
2009-11-01,35
2009-11-08,26
2009-11-15,17
2009-11-22,10
2009-11-29,13
2009-12-06,8
2009-12-13,22
2009-12-20,33
2009-12-27,32
2010-01-03,17
2010-01-10,21
2010-01-17,8
2010-01-24,20
2010-01-31,24
2010-02-07,16
2010-02-14,17
2010-02-21,8
2010-02-28,24
2010-03-07,24
2010-03-14,17
2010-03-21,20
2010-03-28,17
2010-04-04,8
2010-04-11,16
2010-04-18,16
2010-04-25,8
2010-05-02,12
2010-05-09,25
2010-05-16,9
2010-05-23,18
2010-05-30,18
2010-06-06,17
2010-06-13,14
2010-06-20,9
2010-06-27,30
2010-07-04,39
2010-07-11,30
2010-07-18,30
2010-07-25,22
2010-08-01,15
2010-08-08,33
2010-08-15,15
2010-08-22,22
2010-08-29,32
2010-09-05,51
2010-09-12,25
2010-09-19,35
2010-09-26,10
2010-10-03,31
2010-10-10,28
2010-10-17,24
2010-10-24,14
2010-10-31,33
2010-11-07,20
2010-11-14,26
2010-11-21,33
2010-11-28,38
2010-12-05,42
2010-12-12,13
2010-12-19,34
2010-12-26,53
2011-01-02,47
2011-01-09,27
2011-01-16,48
2011-01-23,32
2011-01-30,38
2011-02-06,39
2011-02-13,39
2011-02-20,21
2011-02-27,31
2011-03-06,42
2011-03-13,27
2011-03-20,31
2011-03-27,39
2011-04-03,34
2011-04-10,39
2011-04-17,74
2011-04-24,57
2011-05-01,36
2011-05-08,58
2011-05-15,47
2011-05-22,76
2011-05-29,61
2011-06-05,61
2011-06-12,29
2011-06-19,43
2011-06-26,40
2011-07-03,53
2011-07-10,37
2011-07-17,47
2011-07-24,33
2011-07-31,78
2011-08-07,65
2011-08-14,43
2011-08-21,66
2011-08-28,54
2011-09-04,64
2011-09-11,66
2011-09-18,64
2011-09-25,63
2011-10-02,61
2011-10-09,73
2011-10-16,56
2011-10-23,65
2011-10-30,82
2011-11-06,63
2011-11-13,68
2011-11-20,51
2011-11-27,63
2011-12-04,63
2011-12-11,66
2011-12-18,80
2011-12-25,100
2012-01-01,53
