,y_true,y_pred,dates
3731,114.0,77.6131,2018-01-07
3732,147.0,83.5179,2018-01-14
3733,157.0,71.09942,2018-01-21
3734,172.0,74.079926,2018-01-28
3735,141.0,75.422455,2018-02-04
3736,151.0,76.915634,2018-02-11
3737,174.0,75.51064,2018-02-18
3738,171.0,75.384186,2018-02-25
3739,207.0,75.69655,2018-03-04
3740,184.0,68.385445,2018-03-11
3741,144.0,81.790436,2018-03-18
3742,142.0,75.89044,2018-03-25
3743,134.0,100.502655,2018-04-01
3744,155.0,93.1774,2018-04-08
3745,159.0,93.47975,2018-04-15
3746,109.0,91.35548,2018-04-22
3747,236.0,137.35909,2018-04-29
3748,227.0,129.11087,2018-05-06
3749,269.0,109.07829,2018-05-13
3750,171.0,112.75365,2018-05-20
3751,110.0,111.265274,2018-05-27
3752,113.0,113.93462,2018-06-03
3753,196.0,116.66966,2018-06-10
3754,227.0,113.309456,2018-06-17
3755,231.0,134.73485,2018-06-24
3756,197.0,140.2484,2018-07-01
3757,189.0,128.09105,2018-07-08
3758,140.0,133.67209,2018-07-15
3759,219.0,157.07578,2018-07-22
3760,191.0,163.56906,2018-07-29
3761,243.0,157.16563,2018-08-05
3762,277.0,150.17455,2018-08-12
