WEEK_END_DATE,lag-units-1,lag-units-2,lag-units-3,lag-units-4,lag-units-5,lag-units-6,lag-units-7,lag-units-8,lag-units-9,lag-units-10,lag-units-11,lag-units-12,lag-units-13,lag-units-14,lag-units-15,lag-units-16,lag-units-17,lag-units-18,lag-units-19,lag-units-20,lag-units-21,lag-units-22,lag-units-23,lag-units-24,lag-units-25,lag-units-26,lag-units-27,lag-units-28,lag-units-29,lag-units-30,lag-units-31,lag-units-32,lag-units-33,lag-units-34,lag-units-35,lag-units-36,lag-units-37,lag-units-38,lag-units-39,lag-units-40,lag-units-41,lag-units-42,lag-units-43,lag-units-44,lag-units-45,lag-units-46,lag-units-47,lag-units-48,lag-units-49,lag-units-50,lag-units-51,lag-units-52,lag-units-1-rolling-2,lag-units-1-rolling-4,lag-units-1-rolling-8,lag-units-1-rolling-16,lag-units-1-rolling-26,WEEK_END_DATEYear,WEEK_END_DATEMonth,WEEK_END_DATEWeek,WEEK_END_DATEDay,WEEK_END_DATEDayofweek,WEEK_END_DATEDayofyear,test_predictions,y_true
2011-07-23,57.0,57.0,64.0,59.0,86.0,65.0,70.0,71.0,74.0,83.0,63.0,140.0,123.0,57.0,60.0,37.0,29.0,53.0,47.0,83.0,87.0,88.0,86.0,80.0,86.0,98.0,108.0,78.0,243.0,387.0,336.0,435.0,62.0,118.0,42.0,102.0,139.0,164.0,108.0,135.0,72.0,340.0,88.0,74.0,69.0,156.0,93.0,84.0,111.0,78.0,72.0,67.0,57.0,59.25,66.12,72.88,73.19,2011,7,29,23,5,204,71,64
2011-07-30,64.0,57.0,57.0,64.0,59.0,86.0,65.0,70.0,71.0,74.0,83.0,63.0,140.0,123.0,57.0,60.0,37.0,29.0,53.0,47.0,83.0,87.0,88.0,86.0,80.0,86.0,98.0,108.0,78.0,243.0,387.0,336.0,435.0,62.0,118.0,42.0,102.0,139.0,164.0,108.0,135.0,72.0,340.0,88.0,74.0,69.0,156.0,93.0,84.0,111.0,78.0,72.0,60.5,60.5,65.25,74.56,71.88,2011,7,30,30,5,211,57,54
2011-08-06,54.0,64.0,57.0,57.0,64.0,59.0,86.0,65.0,70.0,71.0,74.0,83.0,63.0,140.0,123.0,57.0,60.0,37.0,29.0,53.0,47.0,83.0,87.0,88.0,86.0,80.0,86.0,98.0,108.0,78.0,243.0,387.0,336.0,435.0,62.0,118.0,42.0,102.0,139.0,164.0,108.0,135.0,72.0,340.0,88.0,74.0,69.0,156.0,93.0,84.0,111.0,78.0,59.0,58.0,63.25,74.19,70.65,2011,8,31,6,5,218,70,265
2011-08-13,265.0,54.0,64.0,57.0,57.0,64.0,59.0,86.0,65.0,70.0,71.0,74.0,83.0,63.0,140.0,123.0,57.0,60.0,37.0,29.0,53.0,47.0,83.0,87.0,88.0,86.0,80.0,86.0,98.0,108.0,78.0,243.0,387.0,336.0,435.0,62.0,118.0,42.0,102.0,139.0,164.0,108.0,135.0,72.0,340.0,88.0,74.0,69.0,156.0,93.0,84.0,111.0,159.5,110.0,88.25,87.19,77.77,2011,8,32,13,5,225,59,50
