,y_true,preds,dates
3385,147,110.2743892316585,2018-01-07
3386,155,199.97439625710666,2018-01-14
3387,172,187.17553859423762,2018-01-21
3388,132,145.84384323751448,2018-01-28
3389,85,124.80213490631672,2018-02-04
3390,73,83.26012085776829,2018-02-11
3391,126,77.15540143336212,2018-02-18
3392,131,136.86245001934572,2018-02-25
3393,151,153.06185662609892,2018-03-04
3394,161,139.8692638482419,2018-03-11
3395,118,158.7074267087616,2018-03-18
3396,140,103.50447270590234,2018-03-25
3397,133,116.51192947633481,2018-04-01
3398,143,130.89409003714712,2018-04-08
3399,130,148.35979223272744,2018-04-15
3400,121,149.15875084467024,2018-04-22
3401,193,115.70136730610028,2018-04-29
3402,135,190.34663239934363,2018-05-06
3403,203,160.41886078348372,2018-05-13
3404,171,207.5806733858965,2018-05-20
3405,89,164.4782558283341,2018-05-27
3406,87,79.29245801899367,2018-06-03
3407,74,45.776016685728415,2018-06-10
3408,97,67.4629958290463,2018-06-17
3409,88,122.18395556583536,2018-06-24
3410,127,117.19889836993258,2018-07-01
3411,96,118.58190781602451,2018-07-08
3412,41,76.85325388701406,2018-07-15
3413,115,44.21497958969378,2018-07-22
3414,130,125.33277192349665,2018-07-29
3415,163,162.53845694991415,2018-08-05
3416,143,167.9798065517174,2018-08-12
