Category: Grocery & Food Retailers

Week,Kroger: (Kentucky)
2009-01-11,31
2009-01-18,53
2009-01-25,15
2009-02-01,45
2009-02-08,56
2009-02-15,25
2009-02-22,37
2009-03-01,38
2009-03-08,52
2009-03-15,9
2009-03-22,21
2009-03-29,32
2009-04-05,26
2009-04-12,9
2009-04-19,21
2009-04-26,38
2009-05-03,46
2009-05-10,35
2009-05-17,14
2009-05-24,42
2009-05-31,51
2009-06-07,28
2009-06-14,42
2009-06-21,37
2009-06-28,45
2009-07-05,42
2009-07-12,47
2009-07-19,41
2009-07-26,36
2009-08-02,27
2009-08-09,22
2009-08-16,38
2009-08-23,71
2009-08-30,37
2009-09-06,41
2009-09-13,46
2009-09-20,41
2009-09-27,35
2009-10-04,39
2009-10-11,46
2009-10-18,15
2009-10-25,18
2009-11-01,26
2009-11-08,56
2009-11-15,39
2009-11-22,29
2009-11-29,21
2009-12-06,42
2009-12-13,40
2009-12-20,67
2009-12-27,54
2010-01-03,33
2010-01-10,53
2010-01-17,74
2010-01-24,26
2010-01-31,36
2010-02-07,27
2010-02-14,38
2010-02-21,30
2010-02-28,30
2010-03-07,25
2010-03-14,39
2010-03-21,58
2010-03-28,29
2010-04-04,27
2010-04-11,18
2010-04-18,28
2010-04-25,31
2010-05-02,51
2010-05-09,49
2010-05-16,56
2010-05-23,35
2010-05-30,43
2010-06-06,45
2010-06-13,46
2010-06-20,37
2010-06-27,73
2010-07-04,45
2010-07-11,27
2010-07-18,41
2010-07-25,53
2010-08-01,46
2010-08-08,59
2010-08-15,44
2010-08-22,25
2010-08-29,53
2010-09-05,79
2010-09-12,38
2010-09-19,33
2010-09-26,44
2010-10-03,32
2010-10-10,42
2010-10-17,64
2010-10-24,49
2010-10-31,55
2010-11-07,56
2010-11-14,44
2010-11-21,50
2010-11-28,70
2010-12-05,46
2010-12-12,73
2010-12-19,52
2010-12-26,45
2011-01-02,55
2011-01-09,52
2011-01-16,71
2011-01-23,44
2011-01-30,74
2011-02-06,50
2011-02-13,62
2011-02-20,68
2011-02-27,88
2011-03-06,79
2011-03-13,79
2011-03-20,57
2011-03-27,49
2011-04-03,60
2011-04-10,63
2011-04-17,64
2011-04-24,86
2011-05-01,75
2011-05-08,64
2011-05-15,90
2011-05-22,69
2011-05-29,98
2011-06-05,77
2011-06-12,90
2011-06-19,52
2011-06-26,100
2011-07-03,86
2011-07-10,72
2011-07-17,62
2011-07-24,71
2011-07-31,87
2011-08-07,90
2011-08-14,96
2011-08-21,42
2011-08-28,93
2011-09-04,67
2011-09-11,42
2011-09-18,60
2011-09-25,78
2011-10-02,69
2011-10-09,96
2011-10-16,61
2011-10-23,71
2011-10-30,70
2011-11-06,59
2011-11-13,63
2011-11-20,56
2011-11-27,52
2011-12-04,44
2011-12-11,51
2011-12-18,53
2011-12-25,51
2012-01-01,67
