Category: Shopping

Week,Walmart: (United States)
2009-01-11,19
2009-01-18,18
2009-01-25,18
2009-02-01,18
2009-02-08,18
2009-02-15,19
2009-02-22,17
2009-03-01,17
2009-03-08,18
2009-03-15,18
2009-03-22,17
2009-03-29,17
2009-04-05,17
2009-04-12,17
2009-04-19,16
2009-04-26,17
2009-05-03,17
2009-05-10,17
2009-05-17,18
2009-05-24,18
2009-05-31,18
2009-06-07,18
2009-06-14,20
2009-06-21,17
2009-06-28,19
2009-07-05,18
2009-07-12,19
2009-07-19,18
2009-07-26,18
2009-08-02,19
2009-08-09,19
2009-08-16,18
2009-08-23,18
2009-08-30,22
2009-09-06,19
2009-09-13,17
2009-09-20,18
2009-09-27,18
2009-10-04,18
2009-10-11,19
2009-10-18,20
2009-10-25,20
2009-11-01,22
2009-11-08,27
2009-11-15,35
2009-11-22,71
2009-11-29,38
2009-12-06,35
2009-12-13,38
2009-12-20,41
2009-12-27,27
2010-01-03,20
2010-01-10,18
2010-01-17,18
2010-01-24,17
2010-01-31,18
2010-02-07,18
2010-02-14,17
2010-02-21,17
2010-02-28,17
2010-03-07,17
2010-03-14,17
2010-03-21,16
2010-03-28,17
2010-04-04,17
2010-04-11,15
2010-04-18,16
2010-04-25,16
2010-05-02,17
2010-05-09,16
2010-05-16,17
2010-05-23,19
2010-05-30,18
2010-06-06,18
2010-06-13,18
2010-06-20,18
2010-06-27,19
2010-07-04,19
2010-07-11,18
2010-07-18,18
2010-07-25,18
2010-08-01,20
2010-08-08,19
2010-08-15,18
2010-08-22,18
2010-08-29,17
2010-09-05,18
2010-09-12,18
2010-09-19,18
2010-09-26,17
2010-10-03,18
2010-10-10,17
2010-10-17,18
2010-10-24,20
2010-10-31,21
2010-11-07,25
2010-11-14,33
2010-11-21,71
2010-11-28,39
2010-12-05,34
2010-12-12,38
2010-12-19,42
2010-12-26,31
2011-01-02,23
2011-01-09,22
2011-01-16,22
2011-01-23,22
2011-01-30,23
2011-02-06,22
2011-02-13,22
2011-02-20,23
2011-02-27,22
2011-03-06,22
2011-03-13,21
2011-03-20,21
2011-03-27,21
2011-04-03,21
2011-04-10,21
2011-04-17,22
2011-04-24,22
2011-05-01,22
2011-05-08,22
2011-05-15,22
2011-05-22,24
2011-05-29,26
2011-06-05,24
2011-06-12,26
2011-06-19,25
2011-06-26,26
2011-07-03,26
2011-07-10,24
2011-07-17,27
2011-07-24,26
2011-07-31,27
2011-08-07,25
2011-08-14,26
2011-08-21,25
2011-08-28,25
2011-09-04,25
2011-09-11,24
2011-09-18,23
2011-09-25,24
2011-10-02,25
2011-10-09,25
2011-10-16,27
2011-10-23,29
2011-10-30,30
2011-11-06,38
2011-11-13,43
2011-11-20,100
2011-11-27,52
2011-12-04,42
2011-12-11,46
2011-12-18,51
2011-12-25,44
2012-01-01,28
